Date,Open,High,Low,Close,Adj Close,Volume
"Aug 25, 2010",5156,5168.5,5070.9,5109.4,5109.4,852400800
"Aug 24, 2010",5234.8,5234.8,5109.9,5156,5156,863053600
"Aug 23, 2010",5195.3,5268.4,5186.9,5234.8,5234.8,582331200
"Aug 20, 2010",5211.3,5233,5160.4,5195.3,5195.3,808561300
"Aug 19, 2010",5302.9,5336.4,5205.6,5211.3,5211.3,825504500
"Aug 18, 2010",5350.6,5350.6,5296.9,5302.9,5302.9,653515300
"Aug 17, 2010",5276.1,5351.5,5276.1,5350.6,5350.6,722264800
"Aug 16, 2010",5275.4,5304.6,5228.6,5276.1,5276.1,602793800
"Aug 13, 2010",5266.1,5308.8,5225.9,5275.4,5275.4,862502000
"Aug 12, 2010",5245.2,5272.5,5210.6,5266.1,5266.1,1058661400
"Aug 11, 2010",5376.4,5376.4,5245,5245.2,5245.2,1046900300
"Aug 10, 2010",5410.5,5411.6,5348.1,5376.4,5376.4,853612000
"Aug 09, 2010",5332.4,5418.6,5332.4,5410.5,5410.5,635528400
"Aug 06, 2010",5365.8,5408.1,5307.6,5332.4,5332.4,1147370800
"Aug 05, 2010",5386.2,5416.8,5356.8,5365.8,5365.8,1082479100
"Aug 04, 2010",5396.5,5406.8,5318.8,5386.2,5386.2,1157313500
"Aug 03, 2010",5397.1,5397.3,5353.5,5396.5,5396.5,849018700
"Aug 02, 2010",5258,5401.7,5258,5397.1,5397.1,955430600
"Jul 30, 2010",5314,5322.7,5245.5,5258,5258,838262600
"Jul 29, 2010",5319.7,5375.2,5314,5314,5314,792887400
"Jul 28, 2010",5365.7,5398.1,5314.6,5319.7,5319.7,1184814900
"Jul 27, 2010",5351.1,5411.5,5351.1,5365.7,5365.7,1810362700
"Jul 26, 2010",5312.6,5351.9,5301.3,5351.1,5351.1,772356100
"Jul 23, 2010",5313.8,5328.5,5272.7,5312.6,5312.6,872202700
"Jul 22, 2010",5214.6,5319.5,5181,5313.8,5313.8,1022077600
"Jul 21, 2010",5139.5,5244.9,5139.5,5214.6,5214.6,966423900
"Jul 20, 2010",5148.3,5180,5090.6,5139.5,5139.5,830736400
"Jul 19, 2010",5158.9,5196.8,5111.9,5148.3,5148.3,687707400
"Jul 16, 2010",5211.3,5273.6,5153.3,5158.9,5158.9,1068185900
"Jul 15, 2010",5253.5,5268.4,5187.5,5211.3,5211.3,833731400
"Jul 14, 2010",5271,5287.3,5205.8,5253.5,5253.5,839649300
"Jul 13, 2010",5167,5272.3,5167,5271,5271,891506900
"Jul 12, 2010",5132.9,5193.2,5128.6,5167,5167,622994300
"Jul 09, 2010",5105.5,5150.6,5098.8,5132.9,5132.9,859246500
"Jul 08, 2010",5014.8,5123.5,5014.8,5105.5,5105.5,1130033500
"Jul 07, 2010",4965,5014.8,4892,5014.8,5014.8,1061086600
"Jul 06, 2010",4823.5,4967.7,4823.5,4965,4965,921871900
"Jul 05, 2010",4838.1,4863.4,4821.1,4823.5,4823.5,539451500
"Jul 02, 2010",4805.8,4880.9,4805.8,4838.1,4838.1,1038891400
"Jul 01, 2010",4916.9,4916.9,4790,4805.8,4805.8,1342920500
